epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
0,63,,,,,,,,,,,,,,,2.214988946914673,0.0,1.9975417852401733,2.793006181716919,1.2719013690948486,0.7185009717941284,1.6534773111343384
0,63,,,,,,,,2.182055711746216,0.0,2.1174492835998535,5.909329414367676,1.877394437789917,0.45429322123527527,2.350372552871704,,,,,,,
1,127,,,,,,,,,,,,,,,2.2403600215911865,0.0,2.0013275146484375,2.224792957305908,1.154991865158081,0.7683941125869751,1.4766151905059814
1,127,,,,,,,,2.2320494651794434,0.0,2.008894443511963,2.727621078491211,1.2932672500610352,0.7435879707336426,1.6380409002304077,,,,,,,
2,191,,,,,,,,,,,,,,,2.2407453060150146,0.0,1.9830541610717773,1.8538033962249756,1.0671261548995972,0.8045136332511902,1.3479586839675903
2,191,,,,,,,,2.2357394695281982,0.0,1.9870939254760742,2.224759817123413,1.1746941804885864,0.789760410785675,1.4812642335891724,,,,,,,
3,255,,,,,,,,,,,,,,,2.194005012512207,0.0,1.9100289344787598,1.549221396446228,0.974556028842926,0.8378363847732544,1.231974720954895
3,255,,,,,,,,2.217397928237915,0.0,1.9559075832366943,1.9133743047714233,1.0904183387756348,0.8160642385482788,1.3734723329544067,,,,,,,
4,319,,,,,,,,,,,,,,,2.1060097217559814,0.0,1.832168459892273,1.3359956741333008,0.9029068946838379,0.8608438372612,1.144072413444519
4,319,,,,,,,,2.16483998298645,0.0,1.8838326930999756,1.61781644821167,1.0004369020462036,0.8430963158607483,1.2646045684814453,,,,,,,
5,383,,,,,,,,,,,,,,,1.9978156089782715,0.0,1.7385225296020508,1.1741420030593872,0.8344643115997314,0.8790751695632935,1.0733715295791626
5,383,,,,,,,,2.047189712524414,0.0,1.759386420249939,1.3428611755371094,0.9140706658363342,0.8701255321502686,1.149871587753296,,,,,,,
6,447,,,,,,,,,,,,,,,1.9816641807556152,0.0,1.7017316818237305,1.3616808652877808,0.9381422996520996,0.8558491468429565,1.159397006034851
6,447,,,,,,,,1.97722589969635,0.0,1.7250622510910034,1.3184852600097656,0.9046300649642944,0.8744945526123047,1.1408199071884155,,,,,,,
