epoch,step,test_group_l1,test_hsic,test_hsic_reg,test_l0_penalty,test_l0_reg,test_loss_x,test_notears,test_score_sparse,test_x_mae,test_x_r2,test_x_rmse,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
0,14,,,,,,,,,,,,,,,,,,,,,,,0.0,4.367811561678536e-05,0.0,0.0,0.0,0.07013887166976929,0.07013887166976929,0.0,0.8999999761581421,0.22845815122127533,-2.4723806381225586,0.26483601331710815
0,14,,,,,,,,,,,,0.0,4.6292294427985325e-05,0.0,0.0,0.0,0.3994925320148468,0.0,0.45269328355789185,0.4987744092941284,-18.643712997436523,0.5284824371337891,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,,,,,,,,,,0.0,4.382512270240113e-05,0.0,0.0,0.0,0.04091203585267067,0.04091203585267067,0.0,0.8999999761581421,0.16097767651081085,-1.0253628492355347,0.20226547122001648
1,29,,,,,,,,,,,,0.0,4.48658611276187e-05,0.0,0.0,0.0,0.03561074286699295,0.0,0.4280426800251007,0.15085870027542114,-0.7510250210762024,0.18417461216449738,,,,,,,,,,,,
2,44,,,,,,,,,,,,,,,,,,,,,,,0.0,4.370083479443565e-05,0.0,0.0,0.0,0.026405271142721176,0.026405271142721176,0.0,0.8999999761581421,0.11883965879678726,-0.3071218729019165,0.16249454021453857
2,44,,,,,,,,,,,,0.0,4.4347230868879706e-05,0.0,0.0,0.0,0.02727711945772171,0.0,0.4949440360069275,0.13102883100509644,-0.3439306318759918,0.16421712934970856,,,,,,,,,,,,
3,59,,,,,,,,,,,,,,,,,,,,,,,0.0,4.3804378947243094e-05,0.0,0.0,0.0,0.021808642894029617,0.021808642894029617,0.0,0.8999999761581421,0.11077337712049484,-0.07953305542469025,0.14767445623874664
3,59,,,,,,,,,,,,0.0,4.465465099201538e-05,0.0,0.0,0.0,0.023764807730913162,0.0,0.5083413124084473,0.12088838964700699,-0.16663484275341034,0.15363585948944092,,,,,,,,,,,,
4,74,,,,,,,,,,,,,,,,,,,,,,,0.0,4.395332871354185e-05,0.0,0.0,0.0,0.020339759066700935,0.020339759066700935,0.0,0.8999999761581421,0.11051388084888458,-0.006800773087888956,0.14261403679847717
4,74,,,,,,,,,,,,0.0,4.394587449496612e-05,0.0,0.0,0.0,0.021376395598053932,0.0,0.5094079971313477,0.11525437980890274,-0.05108695104718208,0.1461552232503891,,,,,,,,,,,,
5,89,,,,,,,,,,,,,,,,,,,,,,,0.0,4.394425195641816e-05,0.0,0.0,0.0,0.020406905561685562,0.020406905561685562,0.0,0.8999999761581421,0.11516670137643814,-0.010110621340572834,0.14284875988960266
5,89,,,,,,,,,,,,0.0,4.427651583682746e-05,0.0,0.0,0.0,0.021437203511595726,0.0,0.4530666768550873,0.11489075422286987,-0.053984083235263824,0.1463625282049179,,,,,,,,,,,,
6,104,,,,,,,,,,,,,,,,,,,,,,,0.0,4.3925963836954907e-05,0.0,0.0,0.0,0.020416518673300743,0.020416518673300743,0.0,0.8999999761581421,0.11523120105266571,-0.010586271993815899,0.14288239181041718
6,104,,,,,,,,,,,,0.0,4.411533154780045e-05,0.0,0.0,0.0,0.02050146460533142,0.0,0.49468794465065,0.1133313700556755,-0.008040188811719418,0.14316685497760773,,,,,,,,,,,,
7,119,,,,,,,,,,,,,,,,,,,,,,,0.0,4.405314757605083e-05,0.0,0.0,0.0,0.020763346925377846,0.020763346925377846,0.0,0.8999999761581421,0.11707647889852524,-0.027754245325922966,0.14409087598323822
7,119,,,,,,,,,,,,0.0,4.53462234872859e-05,0.0,0.0,0.0,0.020622149109840393,0.0,0.4950186610221863,0.11362860351800919,-0.014140032231807709,0.14358794689178467,,,,,,,,,,,,
8,134,,,,,,,,,,,,,,,,,,,,,,,0.0,4.432697096490301e-05,0.0,0.0,0.0,0.020202385261654854,0.020202385261654854,0.0,0.8999999761581421,0.11365694552659988,1.0306549484084826e-05,0.1421312540769577
8,134,,,,,,,,,,,,0.0,4.539003930403851e-05,0.0,0.0,0.0,0.0205698125064373,0.0,0.41678932309150696,0.11371438205242157,-0.01130022294819355,0.1434098184108734,,,,,,,,,,,,
9,149,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4290380174061283e-05,0.0,0.0,0.0,0.020127691328525543,0.020127691328525543,0.0,0.8999999761581421,0.11134368926286697,0.0037009650841355324,0.1418685019016266
9,149,,,,,,,,,,,,0.0,4.4276304834056646e-05,0.0,0.0,0.0,0.020295042544603348,0.0,0.47468802332878113,0.11256074160337448,0.002159750321879983,0.1424512267112732,,,,,,,,,,,,
10,164,,,,,,,,,,,,,,,,,,,,,,,0.0,4.424453800311312e-05,0.0,0.0,0.0,0.02011008746922016,0.02011008746922016,0.0,0.8999999761581421,0.11293058842420578,0.00457749655470252,0.14180628955364227
10,164,,,,,,,,,,,,0.0,4.483285010792315e-05,0.0,0.0,0.0,0.020337961614131927,0.0,0.44568532705307007,0.11268230527639389,2.5160470613627695e-06,0.14260859787464142,,,,,,,,,,,,
11,179,,,,,,,,,,,,,,,,,,,,,,,0.0,4.429875480127521e-05,0.0,0.0,0.0,0.020142236724495888,0.020142236724495888,0.0,0.8999999761581421,0.11337125301361084,0.0029867214616388083,0.1419195532798767
11,179,,,,,,,,,,,,0.0,4.5021679397905245e-05,0.0,0.0,0.0,0.02029428444802761,0.0,0.4875306785106659,0.11281293630599976,0.002142655896022916,0.14245407283306122,,,,,,,,,,,,
12,194,,,,,,,,,,,,,,,,,,,,,,,0.0,4.462934521143325e-05,0.0,0.0,0.0,0.020103611052036285,0.020103611052036285,0.0,0.8999999761581421,0.11154773831367493,0.004892089869827032,0.14178363978862762
12,194,,,,,,,,,,,,0.0,4.5751356083201244e-05,0.0,0.0,0.0,0.02055508643388748,0.0,0.44841599464416504,0.1133974939584732,-0.010678088292479515,0.14335356652736664,,,,,,,,,,,,
13,209,,,,,,,,,,,,,,,,,,,,,,,0.0,4.46835947514046e-05,0.0,0.0,0.0,0.02010042406618595,0.02010042406618595,0.0,0.8999999761581421,0.11160089075565338,0.0050497702322900295,0.14177241921424866
13,209,,,,,,,,,,,,0.0,4.4975135097047314e-05,0.0,0.0,0.0,0.020363524556159973,0.0,0.40915197134017944,0.11273606866598129,-0.0013341957237571478,0.14267830550670624,,,,,,,,,,,,
14,224,,,,,,,,,,,,,,,,,,,,,,,0.0,4.451867425814271e-05,0.0,0.0,0.0,0.020077746361494064,0.020077746361494064,0.0,0.8999999761581421,0.11132930964231491,0.0061715650372207165,0.1416924148797989
14,224,,,,,,,,,,,,0.0,4.494456879911013e-05,0.0,0.0,0.0,0.020382486283779144,0.0,0.47597870230674744,0.11311835795640945,-0.002255344297736883,0.14276018738746643,,,,,,,,,,,,
15,239,,,,,,,,,,,,,,,,,,,,,,,0.0,4.460368290892802e-05,0.0,0.0,0.0,0.0200614295899868,0.0200614295899868,0.0,0.8999999761581421,0.112327441573143,0.00698276050388813,0.1416347324848175
15,239,,,,,,,,,,,,0.0,4.6042041503824294e-05,0.0,0.0,0.0,0.020332152023911476,0.0,0.4261973202228546,0.11290113627910614,0.00041374945431016386,0.14258204400539398,,,,,,,,,,,,
16,254,,,,,,,,,,,,,,,,,,,,,,,0.0,4.488189733820036e-05,0.0,0.0,0.0,0.020078882575035095,0.020078882575035095,0.0,0.8999999761581421,0.11185348778963089,0.006116079166531563,0.14169640839099884
16,254,,,,,,,,,,,,0.0,4.596047074301168e-05,0.0,0.0,0.0,0.020348859950900078,0.0,0.4681919813156128,0.11279332637786865,-0.0005526453605853021,0.14264480769634247,,,,,,,,,,,,
